,time,passed_total,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10
0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,1,0,0,0,0,0,0,0,0,0
2,2,0,0,1,0,0,0,0,0,0,0,0
3,3,0,0,0,1,0,0,0,0,0,0,0
4,4,0,0,0,0,1,0,0,0,0,0,0
5,5,0,1,0,0,0,1,0,0,0,0,0
6,6,0,0,1,0,0,0,1,0,0,0,0
7,7,0,0,1,0,0,0,0,1,0,0,0
8,8,0,0,0,1,0,0,0,0,1,0,0
9,9,0,1,0,0,1,0,0,0,0,1,0
10,10,0,0,1,0,0,1,0,0,0,0,1
11,11,1,0,0,1,0,0,1,0,0,0,0
12,12,1,0,0,1,0,0,0,1,0,0,0
13,13,1,0,0,0,1,0,0,0,1,0,0
14,14,1,0,0,0,0,1,0,0,0,1,0
15,15,2,1,0,0,0,1,0,0,0,0,0
16,16,2,0,1,0,0,0,1,0,0,0,0
17,17,2,0,0,1,0,0,0,1,0,0,0
18,18,2,0,0,0,1,0,0,0,1,0,0
19,19,2,1,0,0,1,0,0,0,0,1,0
20,20,2,1,0,0,0,1,0,0,0,0,1
